% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0122143	1	3	0	1.05675e-15	2.22801	0
0.0122143	1	4	0	1.05675e-15	2.22801	0
0.0122143	1	5	0	1.05675e-15	2.22801	0
0.0122143	1	6	0	1.05675e-15	2.22801	0
0.0122143	1	7	0	1.05675e-15	2.22801	0
0.0122143	1	8	0	1.05675e-15	2.22801	0
0.0122143	1	9	0	1.05675e-15	2.22801	0
0.0122143	1	10	0	1.05675e-15	2.22801	0
0.0122143	1	11	0	1.05675e-15	2.22801	0
0.0122143	1	12	0	1.05675e-15	2.22801	0
0.0122143	1	13	0	1.05675e-15	2.22801	0
0.0122143	1	14	0	1.05675e-15	2.22801	0
0.0122143	1	15	0	1.05675e-15	2.22801	0
0.0132143	1	1	0	1.05675e-15	2.22801	0
0.0132143	1	2	0	1.05675e-15	2.22801	0
0.0132143	1	3	0	1.05675e-15	2.22801	0
0.0132143	1	4	0	1.05675e-15	2.22801	0
0.0132143	1	5	0	1.05675e-15	2.22801	0
0.0132143	1	6	0	1.05675e-15	2.22801	0
0.0132143	1	7	0	1.05675e-15	2.22801	0
0.0132143	1	8	0	1.05675e-15	2.22801	0
0.0132143	1	9	0	1.05675e-15	2.22801	0
0.0132143	1	10	0	1.05675e-15	2.22801	0
0.0132143	1	11	0	1.05675e-15	2.22801	0
0.0132143	1	12	0	1.05675e-15	2.22801	0
0.0132143	1	13	0	1.05675e-15	2.22801	0
0.0132143	1	14	0	1.05675e-15	2.22801	0
0.0132143	1	15	0	1.05675e-15	2.22801	0
0.0142143	1	1	0	1.05675e-15	2.22801	0
0.0142143	1	2	0	1.05675e-15	2.22801	0
0.0142143	1	3	0	1.05675e-15	2.22801	0
0.0142143	1	4	0	1.05675e-15	2.22801	0
0.0142143	1	5	0	1.05675e-15	2.22801	0
0.0142143	1	6	0	1.05675e-15	2.22801	0
0.0142143	1	7	0	1.05675e-15	2.22801	0
0.0142143	1	8	0	1.05675e-15	2.22801	0
0.0142143	1	9	0	1.05675e-15	2.22801	0
0.0142143	1	10	0	1.05675e-15	2.22801	0
0.0142143	1	11	0	1.05675e-15	2.22801	0
0.0142143	1	12	0	1.05675e-15	2.22801	0
0.0142143	1	13	0	1.05675e-15	2.22801	0
0.0142143	1	14	0	1.05675e-15	2.22801	0
0.0142143	1	15	0	1.05675e-15	2.22801	0
0.0152143	1	1	0	1.05675e-15	2.22801	0
0.0152143	1	2	0	1.05675e-15	2.22801	0
0.0152143	1	3	0	1.05675e-15	2.22801	0
0.0152143	1	4	0	1.05675e-15	2.22801	0
0.0152143	1	5	0	1.05675e-15	2.22801	0
0.0152143	1	6	0	1.05675e-15	2.22801	0
0.0152143	1	7	0	1.05675e-15	2.22801	0
0.0152143	1	8	0	1.05675e-15	2.22801	0
0.0152143	1	9	0	1.05675e-15	2.22801	0
0.0152143	1	10	0	1.05675e-15	2.22801	0
0.0152143	1	11	0	1.05675e-15	2.22801	0
0.0152143	1	12	0	1.05675e-15	2.22801	0
0.0152143	1	13	0	1.05675e-15	2.22801	0
0.0152143	1	14	0	1.05675e-15	2.22801	0
0.0152143	1	15	0	1.05675e-15	2.22801	0
0.0162143	1	1	0	1.05675e-15	2.22801	0
0.0162143	1	2	0	1.05675e-15	2.22801	0
0.0162143	1	3	0	1.05675e-15	2.22801	0
