% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
888	1	2	1	0	22	1383	0	1	0
889	1	1	3	0	28	2196	0	1	0
890	1	3	2	0	20	1191	0	1	0
891	1	4	4	0	14	775	0	1	0
892	1	2	1	0	22	1383	0	1	0
893	1	1	3	0	28	2196	0	1	0
894	1	3	2	0	20	1191	0	1	0
895	1	2	1	0	22	1383	0	1	0
896	1	1	3	0	28	2196	0	1	0
897	1	4	4	0	14	775	0	1	0
898	1	3	2	0	20	1191	0	1	0
899	1	2	1	0	22	1383	0	1	0
900	1	4	4	0	14	775	0	1	0
901	1	1	3	0	28	2196	0	1	0
902	1	3	2	0	20	1191	0	1	0
903	1	2	1	0	22	1383	0	1	0
904	1	1	3	0	28	2196	0	1	0
905	1	4	4	0	14	775	0	1	0
906	1	3	2	0	20	1191	0	1	0
907	1	2	1	0	22	1383	0	1	0
908	1	1	3	0	28	2196	0	1	0
909	1	4	4	0	14	775	0	1	0
910	1	3	2	0	20	1191	0	1	0
911	1	2	1	0	22	1383	0	1	0
912	1	1	3	0	28	2196	0	1	0
913	1	4	4	0	14	775	0	1	0
914	1	3	2	0	20	1191	0	1	0
915	1	2	1	0	22	1383	0	1	0
916	1	1	3	0	28	2196	0	1	0
917	1	4	4	0	14	775	0	1	0
918	1	3	2	0	20	1191	0	1	0
919	1	1	3	0	28	2196	0	1	0
920	1	2	1	0	22	1383	0	1	0
921	1	4	4	0	14	775	0	1	0
922	1	3	2	0	20	1191	0	1	0
923	1	1	3	0	28	2196	0	1	0
924	1	2	1	0	22	1383	0	1	0
925	1	4	4	0	14	775	0	1	0
926	1	3	2	0	20	1191	0	1	0
927	1	1	3	0	28	2196	0	1	0
928	1	2	1	0	22	1383	0	1	0
929	1	4	4	0	14	775	0	1	0
930	1	3	2	0	20	1191	0	1	0
931	1	1	3	0	28	2196	0	1	0
932	1	2	1	0	22	1383	0	1	0
933	1	4	4	0	14	775	0	1	0
934	1	3	2	0	20	1191	0	1	0
935	1	1	3	0	28	2196	0	1	0
936	1	2	1	0	22	1383	0	1	0
937	1	4	4	0	14	775	0	1	0
